32,کیو ٹی‌وی کے کمپئیر انڈر کرکٹ ورلڈ کپ ء
64,بین‌الاقوامی پروازیں
31,‮پاکستان‬ ‮سارک یورپ تک ٹرین کی پیشکش‬
15,پاکستان سٹاک مارکیٹ
62,پروازیں منسوخ
4,ٹینس ٹورنامنٹ ڈالر کی قیمت میں معمولی کمی
36,زمین ڈاٹ کام
5,سٹاک مارکٹ کی خاص خبریں
5,سٹاک مارکٹ میں شدید مندی
29,طیفا ان ٹربل
59,قلندر ذات
70,محمد جاوید حیات کھیلاڑی
70,محمد عاطف اسلم
70,مولانا فضل الرحمن
31,ڈاکٹر کی زندگی
75,آرٹیفشل انٹیلیجنس اور روبوٹ
71,سپورٹرز کی انسانی زندگی میں اہمیت
31,ضرورت ایجاد کی ماں ہے
32,بھارتی ٹیم کی وکٹیں ایسی گریں جیسے ابھی نندن کا جہاز
1,میں نے اس وقت بھی تاج محل نہیں دیکھا تھا
1,اپنا مریض اٹھا کر گھر لے جاؤ
73,برمودا مثلث غیر حل شدہ ملعون اسرار
71,ٹیسلا ایک نیا دور
29,جے کے رولنگ
59,حسن شہریار یاسین
68,ماؤنٹ ایورسٹ
1,نیویارک وہ شہر جو کبھی نہیں سوتا ہے
59,واسی چودھری
4,تولہ سونا
28,کنال کی قیمت
4,مرلہ کی قیمت
28,مرلہ مکان کرایہ پر
44,امپئر کے نام
68,کینال
41,متعدی بیماریاں جو اگلی وبائی بیماری ہوسکتی ہیں
21,مرلہ
79,مہنگے شوبز
4,تولہ سونا کی قیمت
4,مرلہ ہوٹل کی قیمت
0,کے بلاک گلبرگ کا راستہ
58,کی خبریں
67,ہوائی‌جہاز
1,صدی کا فون کیسا ہوتا تھا
31,ویں صدی کی پہلی ایجادات
51,کا کرکٹ ورلڈ کپ
51,کا ورلڈ کپ
51,کا ولڈ کپ
51,کرکٹ ورلڈ کپ
51,ورلڈ کپ
51,ورلڈ کپ
0,کا وارڈ کپ
51,گا سنو کر ورلڈ کپ
51,کرکٹ ورلڈ کپ
19,کی معروف فلمیں
44,کے مشور ڈرامے
46,اولمپکس
33,دنیائے شوبز کے مہنگے ترین اداکار
0,کا بہتریں سیر کا جزیرہ
19,کی بہترین فلمیں
19,کی پاکستانی فلمیں
31,کی فیملی فلمز
45,کے معروف موبائل برانڈ
45,گاڑیوں کے ماڈلز
71,میں پاکستان ترسیلات زر میں اضافہ
71,میں پاکستان درآمد میں اضافہ
44,میں ڈالر کے ذخائر کی بلند ترین سطح
71,میں ریلیز ہونے والی بالی وڈ فلموں کی فہرست
71,میں ریلیز ہونے والی ہالی وڈ فلموں کی فہرست
71,میں شایا ھونے والی کتب
71,میں ہولی ووڈ کی کونسی فلمز ریلیز ہوئیں
71,۲۰۲۰میں کرونا کے باعث پاکستانی روپیہ میں کیا اثر ہوا
8,تک دنیا کی سب سے بڑی معیشت کس ملک کی ہوگی
28,کنال کا خوبصورت گھر
1,سو کنال کے گھر کو ریگولرائز کیا گیا غریبوں کی جھونپڑیاں مسمار کی جاتی ہیں
28,مرلہ مکان کی قیمت
44,جی ٹیکنالوجی کے اثرات
32,لاکھ رنزبنانے والی دنیا کی ٹیم
38,مرحلہ مکان پرائس
38,مرلہ گہر براے فروخت
21,مرلہ مکان
28,مرلہ مکان کی تعمیر
28,کنال
21,مرلہ مکان
44,کے واقعات کس شہر میں ہوئے
56,روگ فون
73,جغرافیائی سلیبس
73,خلاصہ
4,خالص مالیت
68,
68,
61,ایئر لائن رابطہ نمبر
31,کی جانب سے دوران پرواز کرسمس منائی گئی
68,
28,کنال
29,فل ایچ ڈی فلم دانش تیمور ادیتی سنگھ جاوید شیخ سعیدہ امتیاز بی وی سی پاکستانانی
67,ءہدے وفا
71,آئی ایم ایف سے پاکستان کو کتنی مالی امداد ملی ہے
26,آئی ایم ایف شرایت
20,آئی‌فون کی قیمت
67,آئی‌فون ایکس
56,آئ فون
68,آئس اسکیٹنگ
8,آئندہ سال سے بحری راستہ سے سفر حج کی سہولت
26,آئی پی ایل ٹورنامنٹ
26,آئی سی سی کرکٹ پالیسی
32,آئی سی سی ویمنز کرکٹ ورلڈ کپ کے شیڈول کا اعلان
56,آئی فون
20,آئی فون کی قیمت
20,آئی فون ایپل پرو میکس کی قیمت
45,آئی فون کا جدید ماڈل
45,آئی فون کا لیٹیسٹ ماڈل
45,آئی فون کے دس سال سمارٹ فون اتنا سمارٹ کیسے بنا
20,آئی فون کے موبائل کی قیمت
45,آئی فون کے نئے ماڈلز
20,آئی فونز قیمت
20,آئی فونز کی قیمت
29,آب حیات
29,آب گم
31,آب‌وہوا کی تبدیلی کی طرف وزیراعظم عمران خان کا ایک اور عظیم اقدام
44,آپ کے دفاعی نظام کو فروغ دینا
57,آتش ڈرامہ
4,آٹے کی قیمت
4,آٹے میں قیمتوں کا اضافہ
8,آج تک دنیا کی سب سے سنسنی خیز
0,آج کا چاندی کا ریٹ
1,آج کا دن کیسے گزرے گا
4,آج کا ڈالر ریٹ
