Key:32 , Count:100
Key:64 , Count:17
Key:31 , Count:359
Key:15 , Count:24
Key:62 , Count:80
Key:4 , Count:130
Key:36 , Count:49
Key:5 , Count:48
Key:29 , Count:202
Key:59 , Count:158
Key:70 , Count:81
Key:75 , Count:29
Key:71 , Count:318
Key:1 , Count:237
Key:73 , Count:84
Key:68 , Count:140
Key:28 , Count:47
Key:44 , Count:299
Key:41 , Count:89
Key:21 , Count:7
Key:79 , Count:45
Key:0 , Count:202
Key:58 , Count:46
Key:67 , Count:101
Key:51 , Count:42
Key:19 , Count:13
Key:46 , Count:6
Key:33 , Count:84
Key:45 , Count:89
Key:8 , Count:147
Key:38 , Count:51
Key:56 , Count:45
Key:61 , Count:23
Key:26 , Count:88
Key:20 , Count:86
Key:57 , Count:130
Key:13 , Count:41
Key:9 , Count:38
Key:49 , Count:68
Key:7 , Count:44
Key:35 , Count:49
Key:52 , Count:31
Key:18 , Count:75
Key:39 , Count:78
Key:10 , Count:31
Key:23 , Count:25
Key:14 , Count:24
Key:12 , Count:78
Key:53 , Count:17
Key:43 , Count:13
Key:72 , Count:55
Key:6 , Count:23
Key:25 , Count:24
Key:42 , Count:85
Key:37 , Count:13
Key:34 , Count:26
Key:74 , Count:41
Key:3 , Count:72
Key:55 , Count:27
Key:30 , Count:30
Key:63 , Count:36
Key:50 , Count:153
Key:16 , Count:19
Key:66 , Count:40
Key:78 , Count:43
Key:24 , Count:40
Key:76 , Count:129
Key:40 , Count:65
Key:65 , Count:17
Key:69 , Count:33
Key:2 , Count:28
Key:48 , Count:16
Key:60 , Count:30
Key:54 , Count:45
Key:22 , Count:26
Key:77 , Count:31
Key:17 , Count:86
Key:11 , Count:46
Key:27 , Count:22
Key:47 , Count:27
